IPUT「IoTデバイスプログラミング３」（2026）の第10週に正式提示のワーク07の提出場所です。
GitHub.comのアカウントと「世界中に見られても困らないこと」を１行で後ろに追加で書いてください。
世界中に見えるので、氏名は不要です。

----
iput2020-takemoto, みなさん追記してください。
kappasox, 一番乗り！
kappasox,　２回目だ。今度はdevelopというブランチを切ったぞ。
iput2024-k-ishikawa, こんにちは
maehiro04, My favorite password is "6995"
kouki-stk, My favorite is Ruru Mikuma.
m41-o, I had completely forgotten about this assignment.
YAXU-115, みんなTOEICはまじめに受けようね
numaki, 1年生で乗り込んでみました。
kkur0z, I love to sleep.
iput2024-tamada, I want to have a pet fox.
poke58 パワポ嫌い 
totosuki, Favorite operator: cat ears
saito0831rei, :)
yu1sh, Hello from Omarchy OS.
4rna-y, AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!
kazuki1729, pip install rpi-sensor-lib
Salvador0321, I like dog.
iput2026-Gomi, 趣味を探しています。
Iput2026-morita, Conflict resolved successfully!
iput2024-miki, はーい
m4k74, My favorite food is pasta.
IPUT-Yoshikawa, mainブランチで修正
iput2024-yoshimoto, なるほど
tk240043-ishikawa, My favorite is music
tk240283-star, Some people eat to live; I live to eat.
Iputmori0, test text.
iput2024-arakawa, nemui
takuto0210, 2026/06/19
sora1189,haha:>
nichika-iput, もう下書きで出すのは辞めます。
SHO3614, MINE and CRAFT
iput2026-sai, wo shi meiguoren
iput2024-tsuji, 維管束
iput2026,できた！！なので寝ます
iput2025-hirakawa 課題の提出確認　大事
nekozuki プルリクは大事ですよね
tk240329, Hello IPUT!
iput2024-kawata, ２回目
tk240030, systemctl destroy firewalld
IPUT-suzuki, オレは高校生シェル芸人sudo新一
IPUT2024-kinoshita わたしは幼馴染で同級生のmore利蘭です。
iput2024-kofukada, hihihi
iput2024-kofukada,
iput2024-kofukada, develop branch
iput2024-kofukada,
iput2024-kofukada, conflict-test branch
portichihara: ワーク07 Pull Request のための変更です。
iput takahasi, 確認
iput2024-fujita,日本対スウェーデンは2-1で勝ち
Iput2026-zaki, 警視庁、目grep警部だ。
iput2026-sugiyama, 限界
minagi-0301, ギリギリの提出！
saruosaji977-oss, 気持ちいい朝っすねぇ！
